
Logistic Regression:
	Variation 1:
		acc(train): 0.7840909090909091
		acc(test): 0.8181818181818182
		f1: 0.81
		AUC: 0.8896700024811843
	Variation 2:
		acc(train): 0.7806818181818181
		acc(test): 0.8136363636363636
		f1: 0.81
		AUC: 0.888760234885452
	Variation 3:
		acc(train): 0.7352272727272727
		acc(test): 0.7545454545454545
		f1: 0.75
		AUC: 0.8606401455628154

DecisionTreeClassifier:
	Variation 1:
		acc(train): 0.9772727272727273
		acc(test): 0.8545454545454545
		f1: 0.85
		AUC: 0.8676288148209411
	Variation 2:
		acc(train): 0.925
		acc(test): 0.8136363636363636
		f1: 0.80
		AUC: 0.8768505499958645
	Variation 3:
		acc(train): 0.8772727272727273
		acc(test): 0.7863636363636364
		f1: 0.75
		AUC: 0.8730874203953353

RandomForestClassifier: 
	Variation 1:
		acc(train): 1.0
		acc(test): 0.9
		f1: 0.90
		AUC: 0.9658837151600363
	Variation 2:
		acc(train): 0.9988636363636364
		acc(test): 0.8909090909090909
		f1: 0.89
		AUC: 0.9596394012075098
	Variation 3:
		acc(train): 1.0
		acc(test): 0.8636363636363636
		f1: 0.86
		AUC: 0.9396245141013977

GradientBoostingClassifier: 
	Variation 1:
		acc(train): 1.0
		acc(test): 0.8954545454545455
		f1: 0.90
		AUC: 0.9694814324704325
	Variation 2:
		acc(train): 0.9988636363636364
		acc(test): 0.8863636363636364
		f1: 0.88
		AUC: 0.950376312960053
	Variation 3:
		acc(train): 1.0
		acc(test): 0.8590909090909091
		f1: 0.85
		AUC: 0.9426019353237945
